Anio mes,Codigo IATA,Descripcion,Estado,Pasajeros nacionales,Pasajeros internacionales
201609,NLD,Nuevo Laredo,Tamaulipas,6499,40
201609,NOG,Nogales,Sonora,179,15
201609,PAZ,Poza Rica,Veracruz,2577,0
201609,PBC,Puebla,Puebla,28432,3885
201609,PXM,Puerto Escondido,Oaxaca,16789,160
201609,TCN,Tehuacan,Puebla,256,0
201609,TPQ,Tepic,Nayarit,11045,0
201609,TSL,Tamuin,San Luis Potosi,149,0
201609,UPN,Uruapan,Michoacan,8253,1270
201610,CEN,Ciudad Obregon,Sonora,22530,579
201610,CLQ,Colima,Colima,11344,37
201610,CME,Ciudad del Carmen,Campeche,31313,1451
201610,CPE,Campeche,Campeche,16110,268
201610,CTM,Chetumal,Quintana Roo,16440,3
201610,CVM,Ciudad Victoria,Tamaulipas,5738,229
201610,GYM,Guaymas,Sonora,809,402
201610,LTO,Loreto,Baja California  Sur,1500,4449
201610,MAM,Matamoros,Tamaulipas,6960,2
201610,NLD,Nuevo Laredo,Tamaulipas,6810,27
201610,NOG,Nogales,Sonora,167,45
201610,PAZ,Poza Rica,Veracruz,2923,0
201610,PBC,Puebla,Puebla,31255,4981
201610,PXM,Puerto Escondido,Oaxaca,16551,176
201610,TCN,Tehuacan,Puebla,286,0
201610,TPQ,Tepic,Nayarit,11212,0
201610,TSL,Tamuin,San Luis Potosi,170,0
201610,UPN,Uruapan,Michoacan,8885,1093
201611,CEN,Ciudad Obregon,Sonora,22155,376
201611,CLQ,Colima,Colima,12242,35
201611,CME,Ciudad del Carmen,Campeche,31026,884
201611,CPE,Campeche,Campeche,16747,194
201611,CTM,Chetumal,Quintana Roo,17470,5
201611,CVM,Ciudad Victoria,Tamaulipas,5831,126
201611,GYM,Guaymas,Sonora,721,248
201611,LTO,Loreto,Baja California  Sur,1446,5653
201611,MAM,Matamoros,Tamaulipas,7825,5
201611,NLD,Nuevo Laredo,Tamaulipas,7194,69
201611,NOG,Nogales,Sonora,190,20
201611,PAZ,Poza Rica,Veracruz,2752,0
201611,PBC,Puebla,Puebla,30806,4612
201611,PXM,Puerto Escondido,Oaxaca,17117,261
201611,TCN,Tehuacan,Puebla,295,0
201611,TPQ,Tepic,Nayarit,12149,0
201611,TSL,Tamuin,San Luis Potosi,163,0
201611,UPN,Uruapan,Michoacan,8802,1074
201612,CEN,Ciudad Obregon,Sonora,22428,615
201612,CLQ,Colima,Colima,11699,39
201612,CME,Ciudad del Carmen,Campeche,30465,1732
201612,CPE,Campeche,Campeche,17509,196
201612,CTM,Chetumal,Quintana Roo,19793,2
201612,CVM,Ciudad Victoria,Tamaulipas,5648,229
201612,GYM,Guaymas,Sonora,852,237
201612,LTO,Loreto,Baja California  Sur,1637,4996
201612,MAM,Matamoros,Tamaulipas,7645,4
201612,NLD,Nuevo Laredo,Tamaulipas,7437,30
201612,NOG,Nogales,Sonora,168,33
